index,title,heading,content,tokens
1,Quick Start,Getting Started With BigTime for Admins,"Topic: The Benefits of Using BigTime for Your Business

Solution: The Getting Started Guide is a helpful tool that can show you how to unleash the power of BigTime. By signing up for BigTime, you can jump start your ability to run a smarter, more productive, and more profitable business. BigTime offers a range of features that can help you manage your projects, track your time, and streamline your workflow. With BigTime, you can improve your team's collaboration and communication, and gain valuable insights into your business performance. By using BigTime, you can take your business to the next level and achieve greater success.",127
2,QuickBooks,Takeaways,"Topic: BigTime System Guide

Solution: The BigTime System Guide provides users with a comprehensive overview of the system's functionality and how to use it effectively. The guide covers topics such as organizing customer data into projects, adding staff members to the BigTime Staff List, and updating metrics and reports in real-time. Users are encouraged to link their QuickBooks account to import basic information and avoid manual data entry. 

To get started with BigTime, users should sign up using the link in their email invitation and set up their profile and password. If users have trouble finding a specific feature, they should talk to their admin about changing their user rights. 

Users should also add values to the four Field Value categories to provide more information about their staffers and projects. These values will populate in picklists throughout BigTime and can be edited over time as business needs change. Users can also customize the Project Dashboard by adding details such as project type and company credit cards for expense entries. 

In addition, users should create and edit values for each category under Basic Codes to properly use BigTime's workflow. These values can be linked with QuickBooks and customized to fit the needs of the business. 

Users can also add cost center values to designate the department responsible for a cost and apply them to the Project Dashboard for each project. This allows users to run reports and see which staffer types cost the most money. 

Finally, users should utilize their BigTime Inbox as a personal management system to add to-dos and customize their view by created date or type. Activities can be marked as complete and moved to the archived list.",323
3,QuickBooks,Takeaways,"Topic: BigTime Management System Features
Solution: The BigTime Management System offers various features to help users manage their tasks and delegate work effectively. 

The BigTime Inbox serves as a personal management system where users can add to-do lists for themselves or their staff. Users can customize their inbox view by created date or type, and completed items disappear once marked as complete. Staffers can subscribe or unsubscribe from system notices, delete assigned activity messages, and control whether their BigTime inbox is linked to their email. System admins can monitor individual user settings.

The mobile app is organized around key areas of work, including Timesheets, Expenses, Project List, and Staff List. Users can access timers from the home page to make it easier to track time. The project and staff lists are automatically connected to maps, phone, and email functions, allowing users to tap on a client's address to open the maps app, dial a phone number, or send a quick note via email. Data is synced with the BigTime website behind the scenes, and users can log their time or expenses offline, which will sync with the website when a connection is available. Most screens in the system support drag-refresh, allowing users to update their local data cache easily.

Users can invite new users to BigTime from the Staff List by clicking the Invite hyperlink on the Staff Dashboard. Staffers who receive an email invite can set up their BigTime password and start using the system. Users can resend an invite if the user doesn't receive it.

Users can delegate work using project, tasks, and activities. Projects are the broad initiatives that need to be completed, tasks are the action items to execute to complete the project, and activities are small to-dos and reminders. Users can assign work to staffers if they are a system admin or staffer with specific user rights. Resource allocation can be used to manage projects and staffers effectively, plan for future work, allocate staff time, and make informed business decisions based on the vast amount of data available.",402
4,QuickBooks,Takeaways,"Topic: How to effectively manage projects and staff using BigTime software
Solution: 

BigTime software offers a range of features to help businesses manage their projects and staff effectively. Here are some tips on how to use BigTime to its fullest potential:

1. Use the hierarchy of projects, tasks, and activities to organize your work. Assign work to staffers with specific user rights and use resource allocation to manage your projects and staffers effectively.

2. Customize security access by assigning each staffer a security group or creating your own group. Use the on and off switches within a security group to eliminate or add rights within a specific group.

3. Create staff departments values that are relevant to your firm and add staffers to a department. Give certain staffers in your company managerial rights to oversee specific departments.

4. Most of the information you enter into BigTime rolls up into a project. When you log time, expenses, or tasks, you must assign them to a project. Firms that don't use projects can still use BigTime.

5. Assign a team lead to a project team to access and approve timesheets, expenses, and budgets for staffers assigned to a particular project. Restrict staffer ability to log time and expenses to specific projects.

6. Create contacts when you start a new project so you have someone to reach out to when you've got project questions or concerns. Add contacts to each project manually or let BigTime copy contacts for you. Incorporate as many contacts as you'd like, but you can only have one billing and one primary contact. Add as much contact information as possible, including contact type and role, to keep you organized.

By following these tips, you can effectively manage your projects and staff using BigTime software.",348
5,QuickBooks,Takeaways,"Topic: Adding and managing contacts in BigTime

Solution: When starting a new project in BigTime, it is important to create contacts to reach out to for any project-related questions or concerns. Contacts can be added manually or copied from existing contacts. It is recommended to add as much contact information as possible, including contact type and role, to keep contacts organized. BigTime allows for the addition of custom fields to personalize projects and provide additional information. It is also important to add client information to utilize other BigTime functions.",105
6,QuickBooks,Takeaways,"Topic: Task Management in BigTime

Solution: BigTime offers a comprehensive task management system that allows firms to efficiently manage their projects. Tasks are at the center of workflow in BigTime and are the key to setting project budgets, schedules, and assignments. Tasks can be grouped into subtasks, established as one-time events, or a recurring series. They can also be included on invoices and featured in reports to get better estimates and track budgets. 

Firms can refer to tasks as something other than tasks and update the verbiage in BigTime. The Task Dashboard and the Task Editor in the Project Dashboard are two features where tasks can be entered and assigned. Tasks can be added one at a time or in bulk. 

To save time, firms can create recurring tasks that will automatically populate on the time interval of their choosing. Recurring tasks consist of a series master and occurrences, which contain information on every task occurrence: assignments, due dates, and budget information. 

BigTime's Gantt chart feature offers a fast load time, even with thousands of tasks. Projects that have more than 1000 tasks on screen have a sub-one second load time. The Auto-Schedule feature allows firms to shift a task and all of its dependencies automatically. The Critical Path feature allows firms to see the critical tasks that need to be done to complete a project. 

To ensure efficient workflow, all time entered into the system must be submitted before it can proceed to any other workflow. Firms can choose the workflows that work best for them, including Review/Approval, Invoicing, and Posting to their accounting system.",325
7,QuickBooks,Takeaways,"Topic: BigTime - Managing Time, Expenses, and Reports

Solution: BigTime is a comprehensive system that allows firms to manage their time, expenses, and reports efficiently. Here are some takeaways to help you get started:

1. Time Management: All time entered into the system must be submitted before it can proceed to any other workflow. Choose the workflows that work best for your firm. There are three primary optional workflows within the system: Review/Approval, Invoicing, and Posting to your accounting system. Ensure all time is reviewed and approved before it's billed or reimbursed. Choose from several review and approval workflows. You decide who'll review and approve timesheets. Examples include managers, financial admins, team roles, and departments. Set up billable/non-billable approvals to streamline the approval process. Managers and team leads can approve submitted time for the same individual.

2. Timer: Think of timers like a stopwatch tracking your time minute-by-minute, second-by-second. Keep track of total work time. You can start and pause a timer as often as you need, and your timer will show the total amount of time clocked. Track work-in-progress easily with a timer. This is helpful when an unexpected meeting or phone call comes up. Start a timer, then fill in the details later. Switch between timers easily. Set up several timers and switch among them during your day.

3. Expense Management: Expenses in BigTime are either reimbursable or non-reimbursable, which determines whether or not the staffer will get refunded for an expense. Staffers must include an expense type for each entered expense. Expense types, which are often referred to as expense codes, categorize the expense. Examples may include R&D, office expenses, and travel. These values are found in a picklist when staffers enter a new expense. Most firms have employees submit expenses on a schedule that mirrors their payroll periods. An Expense that has been entered but not yet submitted is considered unsubmitted. The unsubmitted expense may be viewed by a Manager, but the Manager cannot do anything with the expense until it has been submitted. The Expense Review feature is optional. After an expense has been submitted, it is entirely up to the firm what to do with it. Just keep in mind that the expense review/approval process can prevent the invoicing of expenses that should not be charged to the client, or can confirm that an employee expense qualifies for reimbursement. Managers can make corrections to submitted expenses.

4. Reports: Use pre-built reports from four categories: time tracking reports, invoice reports, payroll invoice reports, and task list reports. Create custom reports. Generate a report that only shows the data you want to see. Restrict report access. Use report permission settings, security groups, and customized user access rights to determine who can access your firm's reports. Share reports among your firm's BigTime users. For example, share billing reports with your accountants; share project and task reports with project managers. Restrict content access, so staffers only see the information you want them to see. Make reports public so staffers can get a grasp on project progress and their performance.",639
8,QuickBooks,Takeaways,"Topic: Tips for using BigTime for project management and invoicing

Solution: 

1) Use cost rate to determine how much a staffer costs your company and run a report to find out if they are hurting your company from a cost perspective. Use a pre-built report to see the billable utilization rate for your employees. Use realization as a metric to compare the number of billable hours an employee logged in BigTime to the amount that's invoiced. 

2) Create an invoice for any project in the system, at any time. Each invoice that you create utilizes an invoicing style. BigTime supports manual, time & materials, fixed fee, retainer, and other invoicing styles. When you create a new invoice, it's considered a draft until you send it. Once an invoice is sent to your customer, it becomes a final invoice (and is part of your firm's payables). 

3) Consolidate invoices to send your client one invoice with all the necessary information. View and edit a consolidated invoice, much like you would view and edit any invoice you create. Any invoices that are created on the same day for this client will be consolidated automatically when they're created. 

4) Use invoice review and approvals as a safeguard against errors, from inaccurate expenses to typos. This feature allows multiple people across your firm to review and approve an invoice. You can choose from various combinations of staffers, departments, and roles. 

5) Gain control over your invoices by adding detailed descriptions, formulas that automatically calculate, as well as conditions to execute line items only if the condition is met. Use custom invoices for any number of your invoicing needs, such as retainer-based billing, deposits and credits, discounted rates, and administrative markups.",355
9,QuickBooks,Takeaways,"Topic: Integrating BigTime with Other Applications

Solution: BigTime offers integration with various applications to streamline workflow processes. Here are some key takeaways for integrating BigTime with other applications:

1. Linking BigTime with Google: Your BigTime and Google email addresses should match. If they don't, BigTime will send a confirmation to your Google email. You'll need to click the link in that email message to complete the Open ID connection. If you are already a BigTime user, you can link your BigTime account to your Google Apps login. Once the accounts are linked, you are automatically logged into BigTime whenever you are logged into Google.

2. Using Zapier: You don't need a programmer to use Zapier because there is no coding involved. Available to IQ Pro users, the workflow setup process is easy and intuitive. Zapier's setup process allows a BigTime administrator user to choose one application to be a trigger app. The secondary app is the action app. The following features within BigTime are enabled for zaps: Invoices, Tasks, Projects, Creating Time/Expense Entries. In addition to Zapier and QuickBooks, BigTime connects with even more applications. To see the list, go to MY COMPANY … INTEGRATIONS.

3. Syncing with Lacerte: TaxLink is the synchronization tool between BigTime and Lacerte. TaxLink serves as the syncing tool between BigTime and Lacerte. Your firm should download the application on the machine that you would like to designate as the liaison between the two systems. Syncing is a one-way process from Lacerte to BigTime. Do your work in Lacerte, and TaxLink will keep an eye on changes made there and sync that data in BigTime. Easily manage and track your returns on the Engagement Dashboard.

4. Integrating with Salesforce: Create a new opportunity in Salesforce and have it populate as a new project in BigTime, once the opportunity reaches a specific stage in your sales pipeline. Add details to a project in BigTime, and sync them to your opportunity in Salesforce. Sync your BigTime data automatically or manually. Have your BigTime data sync automatically with Salesforce. Or manually sync it and have your BigTime data appear instantly in Salesforce. View BigTime project data in Salesforce. See details, like tracked time and submitted expenses, that you added in BigTime inside Salesforce. Now your project and sales teams are connected and informed throughout the life of a project.

5. Integrating with QuickBooks: Communication between BigTime and QuickBooks happens in the cloud. Put another way, you tell BigTime and QuickBooks what to do, and the work is completed behind the scenes. Integration with QuickBooks Desktop or Online is easy to setup. Integrate your BigTime account with either version of QuickBooks within minutes. QuickBooks Desktop users need to download BigTime's Sync Agent, which syncs information from QuickBooks Desktop to BigTime. However, QuickBooks Online users don't need to download additional software. Synchronization of data between BigTime and QuickBooks is controlled by you. You can turn BigTime's automatic sync feature on or off. That means, transactional data, such as timesheets, expenses, or invoices, aren't shared from QuickBooks to BigTime without your permission.

6. Syncing with QuickBooks Online: Use the Integrations window in BigTime to link your QuickBooks Online account with BigTime. Sync data, like active Customer/Jobs, Employees, Vendors, Service items, automatically. Get on-demand information. Now it's easier than ever to stay informed and make sound business decisions, since you've got important details at your fingertips.",743
10,Quick Start,Signing Up,"Topic: Benefits of Signing Up for BigTime
Solution: Signing up for BigTime provides all the necessary tools to track team growth, costs, budgets, utilization, realization, and other metrics that can make a firm more successful. To get started, simply sign up and receive an email confirmation with a link to set up your firm's subscription. As a new user, you will receive an email invitation to create a user login. Once the basic data is correct, enter your desired password and click the ""Get Started"" button.",106
