article_title,updated_at,content,tokens
Understanding the Basic Structure of Invoice XML in BigTime,2024-04-10T17:00:00Z,"Topic: Understanding the Basic Structure of Invoice XML in BigTime

Content:
This article provides an overview of the basic XML structure used for invoices within the BigTime system. Each invoice is represented by an XML file adhering to the format outlined below.

The root element, btInvoice, serves as the wrapper for the invoice content, specifying the document's orientation and margins. Nested within this root element are various other elements that define the invoice's details and layout.

Key elements and attributes include:

The style element, which defines classes for styling the document. For example, a class named ""body"" may set the font color, family, and size for the document.
The table element with id=""InvoicePageHeader"" is designated as the page header for the entire document, repeating on every page.
The div element with id=""InvoiceTitle"" provides a title for the invoice summary.
The dataTable element represents a collection of data in a tabular format. It contains fld elements that define the data fields, such as ""Description"" and ""Amount"", including their labels and styling.
Special properties or elements to note:

PageFooter or Page1Footer IDs are used to define footer elements for the document, with Page1Footer being specific to the first page.
Data is merged into the XML through dataTable or fld elements, with dataTable used for grid collections and fld for individual properties of the IInvoice object.
The above structure ensures a consistent and customizable format for invoice representation in the BigTime system. Example: <?xml version=""1.0"" encoding=""utf-16""?>
<btInvoice style=""margin:25"" orientation=""portrait"">
   <style>
      <body>color:#333333;font-family:Arial;font-size:10;</body>
   </style>
   <table id=""InvoicePageHeader"">
      <tr><td>{#fld=BillingAddress.CoNm}</td></tr>
         ....
   </table>
   <div id=""InvoiceTitle"">INVOICE SUMMARY</div>
   <dataTable collection=""lines"" showRptTotal=""1"">
      <fld label=""Description"">nm</fld>
      <fld label=""Amount"" style=""width:110;text-align:right;"">Amt</fld>
   </dataTable>
   ....
</btInvoice>",298
Streamlining Invoices for Efficient Payment Processing,2024-04-10T17:00:00Z,"Topic: Streamlining Invoices for Efficient Payment Processing

Content:
This article synthesizes best practices for creating effective invoices using BigTime's PDF generator, derived from extensive data and user experiences. The aim is to simplify the invoice to ensure prompt payment.

A well-constructed invoice communicates the owed amount and facilitates easy payment. Complexity in invoices can lead to delays in payment, hence the design should be straightforward:

Header: The invoice header should be concise, occupying no more than a quarter of the page. It must include essential details: the issuer's information, total amount due, the project or work billed, and the payment due date. Avoid cluttering the header with extraneous information that could obscure the due amount and date.

Clarity in Amounts: Ensure that the invoice does not contain multiple ""amount"" or ""due"" labels, which can cause confusion over the actual amount due for the current invoice. Separate past-due amounts from the current amount due to prevent payment delays or requests for invoice clarification.

Invoice Summary: Invoices should start with a one-page summary. This summary should display a clear ""AMOUNT DUE"" section that builds up the total from its components (fees, expenses, taxes, credits, payments) and should be concise, ideally within 5-10 lines. Use color or font-weight to emphasize the amount due and include the preferred payment method.

Payment Issuer's Needs: Recognize that the individual responsible for payment may not be the same person who reviews or approves the invoice. This individual requires only the invoice number, the firm’s name, amount due, and due date to process the payment.

Subsequent Details: Place detailed breakdowns of the invoice on pages following the summary to avoid overwhelming the first page.

Avoid Repetition: Do not repeat the same information, particularly the ""amount due"" value, to prevent confusion for the accounts payable personnel.

The guidelines above help ensure that invoices generated are not only compliant with BigTime’s standards but also optimized for quick payment processing.",407
Managing Width and Height Specifications for PDF Generation with ASPOSE,2024-04-10T17:00:00Z,"Topic: Managing Width and Height Specifications for PDF Generation with ASPOSE

Content:
When creating PDF documents for invoices, understanding the measurement units is crucial for accurate presentation. BigTime leverages ASPOSE PDF generator, which operates on an 8.5 x 11 inch page and interprets all size measurements in ""points.""

A key aspect to remember is that within the ASPOSE tool, every width or height value is converted to points, where one point is equivalent to 1/72 of an inch. Thus, there are 72 points in one inch.

Considerations for specifying dimensions in invoice documents are as follows:

Page Margin: By default, page margins are about 1/3 inch, approximately 25 points. This setting ensures a consistent frame for the content.

Page Width: A standard letter-sized page has a full width of 576 points. Accounting for a typical 50 point margin on each side leaves a usable width of 526 points.

Exceeding Width Limit: If a width greater than 576 points is specified, the system will automatically scale the object down to fit within the maximum width, a common occurrence within dataTables.

Vertical Growth: Most elements are designed to expand vertically to accommodate content, making the height attribute less critical. The invoicing engine is optimized to adjust the size of elements based on their content.

Spacing: Instead of setting heights, it's advisable to use margin properties to manage the space between elements effectively.

This guidance ensures that invoice elements are proportionally scaled and correctly positioned on the page, providing a professional and clean layout for PDF invoices generated by BigTime's system.
",
Implementing fld Elements for Data Integration in Invoice PDFs,2024-04-10T17:00:00Z,"Topic: Implementing fld Elements for Data Integration in Invoice PDFs

Content:
The flexibility of BigTime's PDF invoices extends to integrating data-driven objects, which include field lists, data tables, and individual field values. This article focuses on the utilization of the fld object to insert individual field values into an invoice.

An fld object is used to incorporate single data points into a PDF and follows this syntax: {#fld=FieldName:FORMAT}. Here, FieldName represents the exact name of the field from the InvoiceDetail object. For example, {#fld=InvoiceNbr} would display the invoice number, while {#fld=BillingAddress.Zip} shows the customer's zip code.

Formatting Field Values:
The format clause in the fld element is optional but crucial for date and numeric fields to ensure clarity. For instance, to display the AmountDue as a currency, the format would be {#fld=TotalAmt:$#,##0.00}, which formats the value in US Dollar currency style.

Predefined Formats:
BigTime provides predefined formats that simplify formatting and ensure consistency. Instead of hard-coding formats, these predefined placeholders automatically apply the necessary formatting:

CURRENCY: Formats values in the base currency of the customer.
CURRENCY_LONG: Provides a longer decimal representation of currency.
FORMAT_CURRENCY: Formats numeric values as currency, hiding null values.
FORMAT_CURRENCY2: Similar to FORMAT_CURRENCY but displays a dash for null values.
FORMAT_CURRENCY_LONG: A longer decimal format for currency, hiding null values.
NUMERIC_2: Formats numbers to two decimal places, hiding null values.
DTFORMAT_2 and DTFORMAT_4: Formats dates in US format, with adaptations for British or Canadian formats.
These formatters can also be applied in dataTable.fld and fieldList.fld objects, with a specific format attribute for the data.

By using fld objects and predefined formats, invoices become more readable and standardized, facilitating quicker comprehension and processing.",396
Styling and Formatting Invoice PDFs with CSS in BigTime,2024-04-10T17:00:00Z,"Topic: Detailed Styling and Class Property Guide for Invoice PDF Generation

Content:
This section of the knowledge base focuses on the formatting attributes available for various elements within invoice PDFs. It's essential to understand the styling options, as most objects in the invoice support style and class properties, leveraging a subset of standard HTML and CSS properties to format text, set up margins and padding, specify element dimensions, and add borders.

Styles and Classes:
Both style and class properties are supported, with the reporting engine accommodating a selection of HTML CSS classes. However, it does not support all CSS properties—only a specific subset.

Supported CSS:
The reporting engine supports specific CSS styles, which will be detailed in the following section. When an element contains both style and class attributes, style takes precedence. Use named classes to maintain consistency across multiple elements when the same style combination is used.

Font, Padding, Margin, Border, Width, Height:
Not all elements support every CSS property. Refer to the documentation for each element to understand which style properties are applicable. Unsupported properties specified for an element will be ignored without causing an exception.

CSS Font/Text Formatting Properties:

font-weight: Accepts ""bold"", ""normal"", ""light"".
font-size: In pixels, with 8 as the smallest and default of 10.
font-style: Any standard Windows font like Arial, which is the default.
color: Sets text color.
font-decoration: Currently, only ""underline"" is supported.
line-height: For multi-line elements to specify spacing, typically as a percentage (e.g., line-height:150%).
CSS Padding Properties:

padding: Applies to all four sides in points.
padding-x: Applies to one side only, with options like padding-left, padding-right, padding-top, and padding-bottom.
CSS Margin Properties:

margin: Applies to all four borders in points.
margin-x: Applies to one border only, with options like margin-left, margin-right, margin-top, and margin-bottom.
CSS Border Properties:

border-x-style: Supports ""solid"" or ""none"".
border-x-width: Border width in pixels, typically 1 or 2.
border-x-color: Border color in hex code, defaulting to black.
CSS Sizing Properties (Width, Height):

width: In points or percentage (e.g., width:100 or width:100%).
height: Rarely used except to specify the max height of the btInvoice object.
Understanding these properties is crucial for anyone tasked with customizing invoice PDFs. By adhering to the supported CSS properties, developers can ensure that invoices maintain visual consistency and professionalism across different clients and uses within the BigTime system.




",539
The Role and Configuration of the btInvoice Element in BigTime Invoice PDFs,2024-04-10T17:00:00Z,"Topic: The Role and Configuration of the btInvoice Element in BigTime Invoice PDFs

Content:
The btInvoice element is the foundational object for the BigTime invoice PDF, analogous to the HTML page element. It encapsulates all the elements that constitute the invoice PDF, serving as the base ""wrapper.""

Usage:
The btInvoice element is used to define the overall structure and orientation of the invoice document. Here is a basic example of its usage:

xml
Copy code
<btInvoice orientation=""portrait"" style=""margin:25"">
    ... [other elements go here] ...
</btInvoice>
Attributes:

orientation: Accepts ""landscape"" or ""portrait"" as values. This attribute determines the orientation in which the invoice will be printed. By default, the orientation is set to ""portrait.""
taxesSplit: When set to TRUE, the display of taxes on the invoice is altered. Further details on this behavior can be found in the InvoicePDFExporter.111 documentation, which should be reviewed for more comprehensive understanding as this attribute requires more elaborate documentation.
style: This attribute supports CSS values for Margin, Width, and Height, allowing for customization of the invoice layout. Commonly, a margin value is specified to set the page margins for the entire invoice.
The btInvoice element and its attributes provide a flexible framework for customizing the invoice's appearance and format. Understanding and utilizing these attributes allows for the creation of invoices that adhere to specific layout requirements and branding guidelines while maintaining a professional and clear presentation.",307
Configuring Page Headers and Footers for Invoices in BigTime,2024-04-10T17:00:00Z,"Topic: Configuring Page Headers and Footers for Invoices in BigTime

Content:
This article delves into the technical aspects of setting up headers and footers within the XML structure for invoices in BigTime. Headers and footers are critical for providing consistent navigation and reference points across different pages of an invoice.

Headers/Footers Construction:
Headers and footers can be crafted using core static elements such as p, div, table, or columnSet. To designate an element as a header or footer, assign an ID property from the predefined list. For example, a table set as the page header is illustrated as follows:

xml
Copy code
<table id=""InvoicePageHeader"">
    ...
</table>
The system identifies the first element with the ID of InvoicePageHeader and formats it to serve as the page header.

Specifics to Note:

Only the first instance of an element with a specified ID will be recognized as the header or footer.
These elements can house data, fieldList elements, or dataTable elements but should maintain a fixed height to ensure consistency across pages.
Page numbers can only be incorporated within footer elements using the syntax $p for the current page number and $P for the total number of pages (e.g., $p of $P).
Key Header/Footer Elements and Usage:

InvoicePageHeader: Repeats as a header on every page.

Example:
xml
Copy code
<table id=""InvoicePageHeader"">
    ...
</table>
InvoicePage1Header: Appears exclusively on the first page.

Example:
xml
Copy code
<table id=""InvoicePage1Header"">
    ...
</table>
PageFooter: Acts as a footer for the invoice.

Attributes:
SkipFirstPage: Use this to omit the footer on the first page (skipFirstPage=""true"").
Example:
xml
Copy code
<div id=""PageFooter"" skipFirstPage=""true"">
    <p>Page $p</p>
</div>
Page1Footer: Specifically for the first page footer.

Note that PageFooter and Page1Footer will not appear on the same page.
Example:
xml
Copy code
<div id=""Page1Footer"">
    <p>Page $p</p>
</div>
Understanding and utilizing these elements correctly ensures that the invoices generated are not only aesthetically pleasing and consistent but also functionally effective for both the issuer and the recipient.",485
Implementing Data Tables for Invoice Detailing in BigTime,2024-04-10T17:00:00Z,"Topic: Implementing Data Tables for Invoice Detailing in BigTime

Content:
This article focuses on the utilization of the DataTable object to present detailed information supporting the invoice’s amount due within BigTime’s PDF generator. The data tables are integral for displaying supplemental data in a structured format and can greatly enhance the clarity of invoices.

Usage of Data Tables:
DataTables are deployed to exhibit various collections of datasets pertinent to the invoice. The syntax for using a DataTable is illustrated below:

xml
Copy code
<dataTable collection=""lines"" showRptTotal=""1"">
    <heading class=""summary"">INVOICE SUMMARY</heading>
    <fld label=""Description"">nm</fld>
    <fld label=""Amount"" style=""width:110;text-align:right;"">Amt</fld>
</dataTable>
This exemplar showcases a standard table with two columns: one for the item description (""name"") and another for the amount (""Amt""). A total sum for sum-able columns is also displayed.

Detailed Exploration of DataTable Elements:

collection: A mandatory attribute denoting the dataset for the table. ""lines"" refers to the collection of invoice line items.
fld: Defines the columns within the table, where the element text represents the actual data.
label: An attribute within fld to indicate the title of the column.
style=width:xx: Determines the default width of the column, with the ability to use CSS properties for flexible widths.
heading: An element to include a repeated heading across pages if the table spans multiple pages.
Attributes of Data Tables:
DataTables possess several attributes that influence their format and presentation:

Collection: Specifies the dataset linked to the table.
showRptTotal: Indicates if a bottom line total should be displayed.
showSubtotals: Toggles the inclusion of sub-totals based on group attributes.
group1-3: Allows up to three levels of data grouping.
Sort1-3: Provides sorting capabilities without grouping.
rptTotalTitle: Customizes the label for the overall total.
hideHeader and HideFooterLabel: Controls the visibility of column headings and footer labels.
style+class: Affects the font, margin, and border style properties.
tr-style+tr-class: Used for formatting individual rows.
pageBreak: Manages page breaks around the table.
hide-if-empty: Hides the dataTable if it has no data.
ng-show/ng-hide: Conditional rendering of the dataTable based on invoice properties.
consolidatedGrouping: Adds project grouping for consolidated invoices.
itemBasedTemplate: Applies data filters based on billing rules.
By adhering to these guidelines and utilizing the attributes effectively, users can create data tables that convey detailed invoice information efficiently, ensuring clarity and aiding in prompt payment processing.",556
Detailed Attributes for Customizing <fld> Elements in BigTime Data Tables,2024-04-10T17:00:00Z,"Topic: Detailed Attributes for Customizing <fld> Elements in BigTime Data Tables

Content:
The <fld> element in BigTime's data tables is versatile, allowing for significant customization through a variety of attributes. These attributes enable users to tailor the presentation of data within invoices. Here is an in-depth look at the attributes available for <fld> elements within a dataTable:

label: This attribute specifies the column title in the data table, serving as a header.

superLabel: For organizing columns into groups, superLabel is used to denote the grouping title. Columns sharing the same superLabel will be grouped under this shared title.

format: While default number and date formatting are applied, this attribute allows for customization of the data format within the column, supporting both system predefined formats and those available in C#.

totalType: If the field represents data that can be aggregated (such as numeric or date values), this attribute determines the type of subtotal to display. Options include “sum”, “avg”, “max”, or “min”.

Flex: This boolean attribute dictates whether a column should adjust its width dynamically. A true value allows the column to expand or contract to fill the available space proportionally with other columns in the table.

style: This is a comprehensive attribute that incorporates sub-properties such as font, padding, border, and width. Each sub-property enhances the control over the presentation of the column.

style.width: To define the width of a column, style=""width:n"" is used, where n is the numerical value in points. The system ensures that if the total width of all columns exceeds the table's width, it will automatically scale down the columns evenly to fit.
markdown: This boolean attribute indicates whether the field uses a template syntax ({#fld=xxx}) instead of a direct field name. It allows for the combination of multiple fields into a single column and supports simple text formatting. The field names correspond to those in the dataset, not directly to the Invoice object.

hidden: When set to true, this attribute ensures that the field is not displayed on the invoice, allowing for internal data to be kept off the document.

Each attribute is designed to provide specific functionality for the invoice’s data representation, ensuring that the end document is both informative and professionally formatted. By utilizing these attributes effectively, users can create clear, concise, and organized invoices tailored to the needs of both the issuer and the recipient.",485
Composition of the DataTable Collection: Lines in BigTime Invoice XML,2024-04-10T17:00:00Z,"Topic: Composition of the DataTable Collection: Lines in BigTime Invoice XML

Content:
Understanding the DataTable Collection: Lines is crucial when working with invoice documents in the BigTime system. This collection is pivotal as it includes all the line items that typically appear on the first page of an invoice, right below the invoice page header. These line items are derived from the IInvoiceLine interface.

Here is an in-depth look at the fields contained within the DataTable Collection: Lines and their respective functionalities:

LineNbr: This is a sequentially sorted number starting from 1, which helps in ordering the line items.
Nm (Name): Refers to the descriptive name given to the line item.
Nt (Note): Contains detailed notes associated with the line item, if any.
Quantity: A numerical value indicating the quantity of the line item.
Rate: The billing rate applicable to the line item, expressed numerically.
Amt (Amount): The total monetary value of the line item, calculated numerically.
BudgetPer: An integer representing the budget period relevant to the line item, formatted as YYYYMM (e.g., 202101).
IsNonTimeCharge: A boolean indicating whether the line item is an expense (True) or not (False).
IsCredit: A boolean indicating whether the line item is a credit, which is not included in the total fees of the invoice (True) or not (False).
LineCatSid: An integer identifier for line items linked to specific terms such as retainers or deposits, with values like 10 for deposit and 20 for retainer.
LineType: An integer that categorizes the line item, with values such as 50 for expenses, 1 for time, 0 for custom user-added items, and 1005 for items from a custom calculator.
IsUnpaid: A boolean indicating the unpaid status of the line item (True or False).
Source: Typically set to 0, this integer field is used internally.
AcctSid: The unique identifier for the accounting item or account where the line item will be posted.
AcctSid_nm: The name of the item or account in the General Ledger (GL) system to which the line item posts.
IsTaxable: A boolean indicating if the line item is taxable, often used in U.S.-based scenarios where sales tax is applied at the invoice level (True or False).
SalesTaxSid: An integer representing the unique identifier for the tax account associated with the line item, used when taxes are applied at the line-item level (common for Canadian, EU, and UK customers).
SalesTax_nm: The name of the tax rate attached to the line item, such as ""GST,"" ""HST,"" ""VAT,"" etc., pertinent to CA, UK, and EU customers.
SalesTax_amt: The total amount of sales tax calculated for this line item.
SubTotalSID: For invoices calculated with a sub-total (by staff, by task, etc.), this is the identifier for the line item.
QBClassSid: If integrated with QuickBooks (QB/QBO), this field contains the class SID for each line item.
QBClass_nm: The name of the class to which the line item is attached if integrated with QB/QBO.
PrjNm, PrjDName, PrjID: These fields contain the project name, display name, and ID respectively, which are particularly useful for consolidated invoicing to group or sort line items.
This detailed guide to the DataTable Collection: Lines equips users to understand and manipulate the line items in an invoice document, ensuring accurate representation and categorization within the BigTime system.",737
