article_title,url,updated_at,content,tokens
BigTime API Overview,https://iq.bigtime.net/BigtimeData/api/v2/Help/Overview,2024-04-10T17:00:00Z,"Topic: BigTime API Overview
Solution: The BigTime API is a REST-based service that allows you to access and manipulate your BigTime data. It provides a simple way to integrate your information with other tools and programs. The API supports both XML and JSON data formats.

Getting Started with the BigTime API
To access your data, you need to create a session by authenticating with your username and password. The session token and firm ID returned by the API can be used for subsequent API calls. You can retrieve information from BigTime by making GET requests using the URLs provided in the API documentation. To update your BigTime data, you can make POST requests with valid requests conforming to the field names in the object definitions.

User-Level Authentication
Most API consumers implement user-level authentication to restrict data access based on the user's access level. However, in some cases, you may need access to firm-level data. To create a firm-level session, your system administrator needs to create a firm access token. This token should be treated with the same security measures as a user's password.

Accessing the API with a Firm-Level Token
To access the API with a firm-level token, you need to establish a firm-level session by POSTing your token and firm ID to the appropriate URL. The firm session token and firm ID should be included in the HTTP headers for subsequent API calls.

API Keys and Permanent Sessions
API keys act as permanent sessions for accessing your firm's data and mimic the security rights of the user who created them. They can be used to update data using the URLs provided in the API documentation.

Data Formats
The BigTime API supports both JSON and XML data formats. For XML requests, send ""application/xml"" in the Accept and Content-Type headers. For JSON requests, send ""application/json"" instead.

API Limits and Throttling
To ensure responsible usage of the API, BigTime limits API calls to 30 per minute per session token. If this limit is exceeded, you will receive an HTTP 503 status code. The Retry-After header can be used to determine the number of seconds until the throttle is lifted.",433
API Login and Session Management in BigTime,https://iq.bigtime.net/BigtimeData/api/v2/Help/Overview,2024-04-10T17:00:00Z,"Topic: API Login and Session Management in BigTime

Solution: 

The BigTime API provides functionality for logging in and managing user sessions. This allows developers to authenticate users and perform actions on their behalf. 

To log in using the API, you can use the `/v2/Session` service. BigTime supports session-based name/password authentication, and you'll use your own BigTime login credentials to validate your user session. 

To establish a new session, you need to make a POST request to `/session` with the following information: 
- UserId: Your BigTime login email
- Pwd: Your BigTime login password

Once the post is validated, you'll receive a valid response from the BigTime server containing the following information: 
- firm: The unique ID of the firm to which the session is attached
- staffsid: The user's staffSid within the firm
- userid: The user's global UserId
- token: The unique session token used to access the rest of the API

You can use the `firm` and `token` values for subsequent API calls to authenticate and authorize the user. 

API tokens expire after 24 hours, so if your session is expired, any calls you make to the BigTime API will receive an HTTP 401 error. To overcome this error, you can re-establish your session by making a new POST request to `/session` to get a new set of tokens. 

Additionally, you can create a firm-specific session by including the `firm` parameter in your session POST request. This allows you to connect a user to a specific firm they belong to. 

To get a list of firms for a specific user, you can make a GET request to `/session/firms`. This requires a valid session token. The response will be an array of valid firm IDs. 

You can also set a user's timezone by making a POST request to `/session/timezone/{timezone}`. This allows you to receive server timer data in the user's timezone. 

To validate a staffer's rights before calling protected areas of the API, you can use the `/session/IsPermitted/{right}` endpoint. This will return a true/false value indicating if the staffer has access to the specified right. 

Finally, if you have a valid productId/code from BigTime, you can use the `/session/provision` endpoint to create and provision new users and firms. This endpoint is typically used by BigTime partners. 

For more details on the API endpoints and their parameters, you can refer to the BigTime API documentation.",521
API Picklist,https://iq.bigtime.net/BigtimeData/api/v2/Help/Overview,2024-04-10T17:00:00Z,"Topic: Picklist API

Solution: The BigTime Picklist API provides a simple way to retrieve lists of elements in the system that can be used in various parts of the application, such as time or expense entries. This API is read-only and returns items that the currently logged in user is allowed to see.

Making Picklist API Calls:
To make a picklist API call, you need to make a GET request to the specific URL for the desired picklist. The data returned will be in the format of ""ID+NAME"". For example, to retrieve a list of projects, you would make a GET request to the /picklist/projects URL.

List of Picklist URLs:
- /picklist/projects: Returns a list of projects that the specified user has rights to log time against.
- /picklist/clients: Returns a list of customer records for the system.
- /picklist/staff: Returns a list of staffers that exist in a firm.
- /picklist/LaborCodes: Returns a list of active labor codes against which time can be logged.
- /picklist/ExpenseCodes: Returns a list of active expense codes against which expenses can be logged.
- /picklist/AllTasksByProject/{projectid}: Returns a list of tasks/engagements linked to a specific project.
- /picklist/EstimatesByProject/{projectid}: Returns a list of budget items linked to a specific project.
- /picklist/QBClasses: Returns a list of QuickBooks classes used for tracking time and expenses.
- /picklist/PayrollItems: Returns a list of payroll items that can be used for logging time.
- /picklist/CreditCards/{StaffSid}: Returns a list of credit cards that the current user has rights to see.
- /picklist/Timezones: Returns a list of valid timezone values for the firm.
- /picklist/FieldValues/{FieldEnum}: Returns a list of acceptable values for specific fields in the system.

Creating a New Expense Code:
To create a new expense code, you can make a POST request to the /picklist/ExpenseCode URL. The required fields for creating an expense code are ""Nm"" (name) and ""Code"" (code used to identify the expense). Additional fields can be included in the POST request to provide more details about the expense code.

Field Details:
The following fields are available for the Expense Code object:
- Nm: Name of the expense code (required)
- Code: Code used to identify the expense (required)
- Desc: Description of the expense code
- IsUnit: Indicates if expenses against this category should be entered per unit
- UOM: Unit of Measure for the expense code
- IsTaxable: Indicates if sales tax is collected on this item
- TaxRateSid: Default tax rate used for taxable items
- BaseCost: Rate at which an item will be billed through to customers
- SalePrice: Rate at which an item will be billed through to customers
- Markup: Used to calculate CostBill from CostOK
- IsServiceFee: Indicates if there is a service fee associated with the code
- IsReimb: Indicates if the expense is eligible for reimbursement
- IsInactive: Indicates if the code is inactive
- SortOrd: Sort order of the code
- AcctSysSid: Link to an account item
- AcctSysSid2: Secondary link to an account item

Note: The picklist API returns results in sorted order based on the system defaults and only includes items that the logged in user has rights to see. Inactive or completed items are not included in the results.

For more information and examples, please refer to the BigTime API documentation.",763
Timesheet and Timers API Documentation,https://iq.bigtime.net/BigtimeData/api/v2/Help/Overview,2024-04-10T17:00:00Z,"Topic: Timesheet and Timers API Documentation

Solution: The BigTime API provides developers with access to various endpoints for manipulating timesheet data and managing timers. This documentation will guide you through the different endpoints and their functionalities.

API Login:
To access the BigTime API, you need to login using your API Key.

Time Entry API:
The Time Entry API allows you to query, create, or edit a user's time entry data without relying on the BigTime web pages. You can manipulate time entries as long as they have not been submitted by the user. Once an entry is submitted, it can no longer be edited by a non-admin user.

Important Notes:
- ""Submitted"" entries cannot be edited or deleted.
- Time Entry ""ID"" values can change as they move through the system.
- To check if an entry has been submitted, check the IsSubmitted flag.
- Retrieving time entry data for a specific date range can be done using the /time/Sheet/{staffsid} endpoint.
- Retrieving time entry data for a specific project and date range can be done using the /time/ByProject/{Id} endpoint.
- You can pull the details of a specific time entry using the /time/{sid} endpoint.
- Creating a new time entry can be done using the /time endpoint.
- Updating existing time entries can be done using the /time/{sid} endpoint.
- Deleting a time entry can be done using the /time/{sid} endpoint.

Timer API:
The Timer API allows you to track work in progress using timers. Timers can be started, paused, and converted into time entries.

Important Notes:
- Timers don't have dates and are considered works in progress.
- Only one timer can be actively accumulating time at any given moment.
- You can retrieve a list of active timers using the /timer/sheet/{staffsid} endpoint.
- You can retrieve the total number of timer hours using the /timer/total/{staffsid} endpoint.
- You can retrieve the details of a specific timer using the /timer/item/{sid} endpoint.
- You can start or pause a timer using the /timer/start/{sid} and /timer/pause/{sid} endpoints.
- You can convert a timer into a time entry using the /timer/SaveAsTime/{sid} endpoint.
- You can close all of a user's timers at once using the /timer/CloseAllTimers/{staffsid} endpoint.

Additional Endpoints:
- You can retrieve the weekly start date containing a specific date using the /time/periodContainingDate/{yyyyMMdd} endpoint.
- You can retrieve a summary of timesheet data by date using the /time/TotalByDay/{staffsid} endpoint.
- You can update an audit log entry/comment using the /time/AuditLogDetail endpoint.

Please refer to the detailed API documentation for more information on each endpoint and their parameters.

Note: The API documentation provided here is a summary of the available endpoints and their functionalities. For complete details, please refer to the official BigTime API documentation.",620
Expense Entry API,https://iq.bigtime.net/BigtimeData/api/v2/Help/Overview,2024-04-10T17:00:00Z,"Topic: Expense Entry API

Solution: The BigTime Expense Entry API provides access to user's expense report data, allowing you to create programs and web services that query, create, or edit a user's data without relying on the BigTime web pages. This API allows you to perform various operations such as retrieving expense entries, filtering entries, creating new entries, updating existing entries, deleting expenses, and more.

API Endpoints:

1. Retrieving Entries by Expense Report:
   - HTTP GET: /expense/report/{rptSid}?staffsid={staffsid}&{view}=Basic
   - Parameters:
     - RptSid (Numeric): Specifies the expense report for which you would like to return details. You can get a list of all unsubmitted expenses by passing a rptSid of ""0.""
     - StaffSid (Numeric): Specifies an alternate staffsid for whom you would like to pull expense details.
     - View (Basic/Detailed): Specifies the level of detail for the returned data.

2. Retrieving Entries by Filter:
   - HTTP POST: /expense/reportbyfilter
   - Parameters:
     - Mindate (DateTime): Specifies the minimum expense entry input date.
     - Maxdate (DateTime): Specifies the maximum expense entry input date.
     - Staffsids (List of Numeric): Specifies the SID of the staff member who entered the expense.
     - Projectsids (List of Numeric): Specifies the SID of the project associated with the expense entry.
     - View (Basic/Detailed): Specifies the level of detail for the returned data.
     - Showapproval (True/False): Includes a property on each ExpenseEntry in the results indicating if the logged in user is permitted to approve the expense.

3. Pulling the Detail for a Specific Expense Entry:
   - HTTP GET: /expense/detail/{sid}

4. Creating a New Expense Entry:
   - HTTP POST: /expense/detail
   - POST CONTENT: {""staffsid"": 0, ""projectsid"":0, ""catsid"":0, ""dt"":""2023-01-01"", ""costIN"": 1.25}

5. Updating Existing Expense Entries:
   - HTTP POST: /expense/detail/{sid}
   - POST CONTENT: {CostIN: 99.95, notes: ""this is an updated note...""}

6. Deleting an Expense:
   - HTTP DELETE: /expense/detail/{sid}

7. Pulling a List of Active Expense Reports:
   - HTTP GET: /expense/reports?{showAll=true}

8. Submitting a User's Expenses:
   - HTTP GET: /expense/submit/{id}

9. Pulling the Receipt Attached to a Specific Expense:
   - HTTP GET: /expense/receipt/{sid}

10. Uploading a New Receipt for a Specific Expense:
    - HTTP POST: /expense/receipt/{sid}
    - POST CONTENT: <FileUpload>

11. Deleting a Receipt File:
    - HTTP DELETE: /expense/receipt/{sid}

For more details on the API endpoints and their parameters, please refer to the BigTime API documentation.",636
Project API,https://iq.bigtime.net/BigtimeData/api/v2/Help/Overview,2024-04-10T17:00:00Z,"Topic: BigTime Project API
Solution: The BigTime Project API provides access to project data and allows users to perform various actions such as getting a listing of projects, pulling the details of a specific project, creating a new project, updating existing projects, and deleting a project.

Getting a listing of ""My Projects"":
To retrieve a listing of project data, you can submit a simple query to the project API. The API will return the ""simple"" view of the project listings page. No additional parameters are required or supported for this request.

HTTP GET: /project?{ShowInactive=true}
HEADERS: X-Auth-Token:{YourAPIToken}, X-Auth-Realm:{YourFirmId}
HTTP RESPONSE: An array of Project objects in the ""basic"" view.

Pulling the detail for a specific project:
To retrieve the details associated with a specific project, you can use a simple GET request. By default, the API will return the details in the ""basic"" view. However, if you pass TRUE to the ShowAllContacts parameter, all of the project's other contacts will be returned in addition to the primary and billing contacts.

HTTP GET: /project/detail/{systemid}?View={Detailed/Basic}&{ShowAllContacts=True/False}
HEADERS: X-Auth-Token:{YourAPIToken}, X-Auth-Realm:{YourFirmId}
HTTP RESPONSE: An array of Project objects in the specified view.

Creating a NEW project:
To create a new project, you can send a POST request to the /project/detail endpoint. Only the fields listed in the Update view should be included in the request body. Any other data will be ignored. The required (*) fields must be included in the request.

HTTP POST: /project/detail
HEADERS: X-Auth-Token:{YourAPIToken}, X-Auth-Realm:{YourFirmId}
POST CONTENT: {Nm: ""My Test Project"", ProjectCode: ""TEST-1""}
HTTP RESPONSE: The updated ProjectDetail object.

Creating a NEW project with a template ID:
To create a new project using a template ID, you can send a POST request to the /project/detail endpoint. Only the fields listed in the Update view should be included in the request body. Any other data will be ignored. The template ID must be greater than zero.

HTTP POST: /project/detail
HEADERS: X-Auth-Token:{YourAPIToken}, X-Auth-Realm:{YourFirmId}
POST CONTENT: {TemplateID: ""123""}
HTTP RESPONSE: The updated ProjectDetail object.

Updating Existing Projects:
To update an existing project, you can send a POST request to the /project/detail/{sid} endpoint. Only the fields listed in the Update view should be included in the request body. Any other data will be ignored. You cannot remove or ""zero-out"" any of the required (*) fields.

HTTP POST: /project/detail/{sid}
HEADERS: X-Auth-Token:{YourAPIToken}, X-Auth-Realm:{YourFirmId}
POST CONTENT: {Nm: ""My Test Project"", ProjectCode: ""TEST-1""}
HTTP RESPONSE: The updated ProjectDetail object.

Deleting a Project:
To delete a project, you can send a DELETE request to the /project/detail/{sid} endpoint. However, the API will not allow you to delete a project that has transaction data attached to it. In such cases, you should mark the project as INACTIVE instead by running an update.

HTTP DELETE: /project/detail/{sid}
HEADERS: X-Auth-Token:{YourAPIToken}, X-Auth-Realm:{YourFirmId}
HTTP RESPONSE: A successful delete will return a 200 status code.",761
Project Contacts API,https://iq.bigtime.net/BigtimeData/api/v2/Help/Overview,2024-04-10T17:00:00Z,"Topic: Project Contacts API

Solution: The Project Contacts API allows you to interact with a project's contacts in the BigTime program. You can perform various actions such as getting a listing of a project's contacts, pulling the details for a specific contact, creating a new contact, updating existing contacts, and deleting a contact.

Getting a listing of a project's contacts:
To retrieve a listing of contact data for a project, you can make a simple GET request to the following endpoint:
HTTP GET: /Project/Contacts
No additional parameters are required. The response will be an array of Contact objects in the ""basic"" view.

Pulling the detail for a specific contact:
To retrieve the details associated with a specific contact, you can make a GET request to the following endpoint:
HTTP GET: /project/contact/{SystemId}?ProjectSid={ProjectSID}&ShowAll=True/False
Replace {SystemId} with the system ID of the contact and {ProjectSID} with the project SID. By default, the response will include the fields in the ""basic"" view. If you pass TRUE to the ShowAll parameter, all linked project records will be returned. Otherwise, at most 50 linked projects will be returned.

Creating a new contact:
To create a new contact, you can make a POST request to the following endpoint:
HTTP POST: /project/Contact/{SystemId}
Include the required fields in the post content, such as ProjectSid and FName. You can also include any of the Update fields, but only the fields listed in the Update view will be considered. Any other data will be ignored. Validation errors will return a 400 error, and an invalid permission will return a 405 error.

Updating existing contacts:
To update an existing contact, you can make a POST request to the following endpoint:
HTTP POST: /project/contact/{SystemId}
Include the required fields in the post content, such as ProjectSid and FName. You can also include any of the Update fields, but only the fields listed in the Update view will be considered. Any other data will be ignored. Note that you cannot ""zero-out"" or remove any of the required fields. Validation errors will return a 400 error, and an invalid permission will return a 405 error.

Deleting a contact:
To delete a contact, you can make a DELETE request to the following endpoint:
HTTP DELETE: /project/Contact/{SystemId}?ProjectSid={ProjectSID}
Replace {SystemId} with the system ID of the contact and {ProjectSID} with the project SID. The response will be 200 if the delete operation is successful.",531
Project Team API,https://iq.bigtime.net/BigtimeData/api/v2/Help/Overview,2024-04-10T17:00:00Z,"Topic: Project Team API

Solution: The Project Team API allows you to interact with a project's team and staff teams. You can perform various actions such as getting a list of project team members, updating an existing project's team members, getting a list of project staff teams, and updating an existing project's staff teams.

Getting a list of project team members:
To retrieve the list of team members for a specific project, you can use a GET request with the following parameters:
- HTTP GET: /project/team/{sid}
- HEADERS: X-Auth-Token:{YourAPIToken}, X-Auth-Realm:{YourFirmId}
The API will return an array of Project Team Member objects.

Updating an existing project's team members:
To add, delete, or update team members for an existing project, you can use a POST request with the following parameters:
- HTTP POST: /project/team/{sid}
- HEADERS: X-Auth-Token:{YourAPIToken}, X-Auth-Realm:{YourFirmId}
- POST CONTENT: JSON array of Project Team Member objects
The API will update the project's team according to the JSON array passed to the URL. Validation errors will return a 400 error, and an invalid permission will return a 405.

Getting a list of project staff teams:
To retrieve the list of staff teams for a specific project, you can use a GET request with the following parameters:
- HTTP GET: /project/staffTeams/{sid}
- HEADERS: X-Auth-Token:{YourAPIToken}, X-Auth-Realm:{YourFirmId}
The API will return an array of Staff Team objects.

Updating an existing project's staff teams:
To add, delete, or update staff teams for an existing project, you can use a POST request with the following parameters:
- HTTP POST: /project/staffTeams/{sid}
- HEADERS: X-Auth-Token:{YourAPIToken}, X-Auth-Realm:{YourFirmId}
- POST CONTENT: JSON array of Project Staff Team SIDs
The API will update the project's staff teams according to the JSON array passed to the URL. Validation errors will return a 400 error, and an invalid permission will return a 405.

Note: It is important to ensure that the user has the necessary permissions to view the project data in the BigTime program.",485
Project Activities API,https://iq.bigtime.net/BigtimeData/api/v2/Help/Overview,2024-04-10T17:00:00Z,"Topic: Project Activities API

Solution: 

GET /Project/Activity
This endpoint is used to fetch the activities attached to a project in BigTime.

REQUEST FORMAT
HEADERS: X-Auth-Token:{YourAPIToken}, X-Auth-Realm:{YourFirmId}
HTTP GET: /project/Activity?projectId={projectId}&showCompleted={true/false/?}startDate={Date?}&endDate={Date?}

RESPONSE FORMAT
HTTP STATUS: 200 Success.
HTTP STATUS: 403 Forbidden.
HTTP STATUS: 5xx Error.

HTTP RESPONSE:
{
    ""ActivityId"": long,
    ""StaffSid"": long?,
    ""ProjectSid"": long?,
    ""TaskSid"": long?,
    ""ActivityType"": long,
    ""ActivityTypeName"": string,
    ""EventType"": long?,
    ""EventTypeName"": string,
    ""Dt"": date?,
    ""IsUnread"": bool,
    ""IsCompleted"": bool,
    ""Nt"": string,
    ""Data"": string,
    ""CreatedDt"": date,
    ""CreatedBy"": long,
    ""EMailId"": string,
    ""EMailStatus"": long?,
    ""EMailStatusName"": string,
    ""NoticeMessage"": {
        ""Body"": string,
        ""LinkText"": string,
        ""href"": string,
        ""NoticeType"": string,
        ""CategoryType"": string,
        ""Subject"": string,
        ""NoticeSettings"": string
    },
    ""Staff_Nm"": string,
    ""Project_Nm"": string,
    ""Client_Sid"": long,
    ""Client_Nm"": string
}

POST /Project/Activity
This endpoint is used to create activities in the BigTime system.

REQUEST FORMAT
HEADERS: X-Auth-Token:{YourAPIToken}, X-Auth-Realm:{YourFirmId}
HTTP POST: /project/activity
HTTP REQUEST:
{
    ""ProjectSid"": long,
    ""StaffSid"": long?,
    ""TaskSid"": long?,
    ""ActivityType"": EActivityType (see below),
    ""Dt"": date?,
    ""IsUnread"": bool,
    ""IsCompleted"": bool,
    ""Nt"": string
}

Enums:

EActivityType {
    None = 0,
    PhoneCall = 1,
    EMail = 2,
    Meeting = 3,
    Note = 4,
    Notification = 5,
    Other = 10
}

RESPONSE FORMAT
HTTP STATUS: 200 Success.
HTTP STATUS: 4xx User Error.
HTTP STATUS: 403 Forbidden.
HTTP STATUS: 5xx Error.

HTTP RESPONSE:
{
    ""ActivityId"": long,
    ""StaffSid"": long?,
    ""ProjectSid"": long?,
    ""TaskSid"": long?,
    ""ActivityType"": long,
    ""ActivityTypeName"": string,
    ""EventType"": long?,
    ""EventTypeName"": string,
    ""Dt"": date?,
    ""IsUnread"": bool,
    ""IsCompleted"": bool,
    ""Nt"": string,
    ""Data"": string,
    ""CreatedDt"": date,
    ""CreatedBy"": long,
    ""EMailId"": string,
    ""EMailStatus"": long?,
    ""EMailStatusName"": string,
    ""NoticeMessage"": {
        ""Body"": string,
        ""LinkText"": string,
        ""href"": string,
        ""NoticeType"": string,
        ""CategoryType"": string,
        ""Subject"": string,
        ""NoticeSettings"": string
    },
    ""Staff_Nm"": string,
    ""Project_Nm"": string,
    ""Client_Sid"": long,
    ""Client_Nm"": string
}

DELETE /Project/Activity
This endpoint is used to remove Activities from a Project in the BigTime system.

REQUEST FORMAT
HEADERS: X-Auth-Token:{YourAPIToken}, X-Auth-Realm:{YourFirmId}
HTTP DELETE: /project/activity
HTTP REQUEST:
{
    ""id"": 0
}

RESPONSE FORMAT
HTTP STATUS: 200 Success.
HTTP STATUS: 4xx User Error.
HTTP STATUS: 403 Forbidden.
HTTP STATUS: 5xx Error.

HTTP RESPONSE:
{
    ""success"": true
}",867
Project Labor Codes API,https://iq.bigtime.net/BigtimeData/api/v2/Help/Overview,2024-04-10T17:00:00Z,"Topic: Project Labor Codes API
Solution: This section of the API is concerned with project labor codes. It provides endpoints to fetch, attach, and remove labor codes from projects in the BigTime system.

GET /Project/LaborCodeTypes
This endpoint is used to fetch all Labor Codes from the BigTime system. It accepts an optional parameter to show inactive labor codes.

REQUEST FORMAT:
HEADERS: X-Auth-Token:{YourAPIToken}, X-Auth-Realm:{YourFirmId}
HTTP GET: /project/LaborCodeTypes?showInactive={true/false/?}

RESPONSE FORMAT:
HTTP STATUS: 200 Success.
HTTP STATUS: 403 Forbidden.
HTTP STATUS: 5xx Error.

HTTP RESPONSE:
[
    {
        ""SID"": long,
        ""AcctSysSID"": long,
        ""AcctSysSID2"": long,
        ""AcctSysSID_nm"": string,
        ""Code"": string,
        ""Desc"": string,
        ""InUse"": long,
        ""IsInactive"": bool,
        ""IsLocked"": bool,
        ""IsNoCharge"": bool,
        ""IsTaxable"": bool,
        ""Nm"": string,
        ""Rate1"": double,
        ""Rate2"": double,
        ""Rate3"": double,
        ""Rate4"": double,
        ""Rate5"": double,
        ""SortOrd"": long
    },
    ...
]

GET /Project/LaborCode
This endpoint is used to fetch the Labor Codes attached to a project in BigTime.

REQUEST FORMAT:
HEADERS: X-Auth-Token:{YourAPIToken}, X-Auth-Realm:{YourFirmId}
HTTP GET: /project/LaborCode?projectId={projectId}

RESPONSE FORMAT:
HTTP STATUS: 200 Success.
HTTP STATUS: 403 Forbidden.
HTTP STATUS: 5xx Error.

HTTP RESPONSE:
[
    {
        ""SID"": long,
        ""AcctSysSID"": long,
        ""AcctSysSID2"": long,
        ""AcctSysSID_nm"": string,
        ""Code"": string,
        ""Desc"": string,
        ""InUse"": long,
        ""IsInactive"": bool,
        ""IsLocked"": bool,
        ""IsNoCharge"": bool,
        ""IsTaxable"": bool,
        ""Nm"": string,
        ""Rate1"": double,
        ""Rate2"": double,
        ""Rate3"": double,
        ""Rate4"": double,
        ""Rate5"": double,
        ""SortOrd"": long
    },
    ...
]

POST /Project/LaborCode
This endpoint is used to attach Labor Codes to Projects in the BigTime system. It returns a list of all Labor Codes attached to that project after the update.

REQUEST FORMAT:
HEADERS: X-Auth-Token:{YourAPIToken}, X-Auth-Realm:{YourFirmId}
HTTP POST: /project/laborCode
HTTP REQUEST:
{
    ""id"": 0, //ProjectSid
    ""laborCodesToAdd"" : [1, 2] //Array of LaborCodeSid
}

RESPONSE FORMAT:
HTTP STATUS: 200 Success.
HTTP STATUS: 4xx User Error.
HTTP STATUS: 403 Forbidden.
HTTP STATUS: 5xx Error.

HTTP RESPONSE:
[
    {
        ""SID"": long,
        ""AcctSysSID"": long,
        ""AcctSysSID2"": long,
        ""AcctSysSID_nm"": string,
        ""Code"": string,
        ""Desc"": string,
        ""InUse"": long,
        ""IsInactive"": bool,
        ""IsLocked"": bool,
        ""IsNoCharge"": bool,
        ""IsTaxable"": bool,
        ""Nm"": string,
        ""Rate1"": double,
        ""Rate2"": double,
        ""Rate3"": double,
        ""Rate4"": double,
        ""Rate5"": double,
        ""SortOrd"": long
    },
    ...
]

DELETE /Project/LaborCode
This endpoint is used to remove Activities from a Project in the BigTime system. It returns a list of all Labor Codes attached to that project after the update.

REQUEST FORMAT:
HEADERS: X-Auth-Token:{YourAPIToken}, X-Auth-Realm:{YourFirmId}
HTTP DELETE: /project/activity
HTTP REQUEST:
{
    ""id"": 0,
    ""laborCodesToRemove"" : [1, 2]
}

RESPONSE FORMAT:
HTTP STATUS: 200 Success.
HTTP STATUS: 4xx User Error.
HTTP STATUS: 403 Forbidden.
HTTP STATUS: 5xx Error.

HTTP RESPONSE:
[
    {
        ""SID"": long,
        ""AcctSysSID"": long,
        ""AcctSysSID2"": long,
        ""AcctSysSID_nm"": string,
        ""Code"": string,
        ""Desc"": string,
        ""InUse"": long,
        ""IsInactive"": bool,
        ""IsLocked"": bool,
        ""IsNoCharge"": bool,
        ""IsTaxable"": bool,
        ""Nm"": string,
        ""Rate1"": double,
        ""Rate2"": double,
        ""Rate3"": double,
        ""Rate4"": double,
        ""Rate5"": double,
        ""SortOrd"": long
    },
    ...
]",1087
