index,title,heading,content,tokens
1,Leveraging Tax Rates in BigTime,Leveraging Tax Rates in BigTime,"Topic: Leveraging Tax Rates in BigTime
Solution: In this video, the speaker discusses how to leverage tax rates in BigTime. They explain that if you are integrated with an accounting system like QuickBooks or Sage, the tax rates can be pulled into your BigTime site. However, if you are not integrated, you can manually add and manage tax rates in BigTime. The speaker demonstrates how to enable tax rates, set default tax rates at the project level, and manage tax rates for firms not integrated with an accounting system. They also show how tax rates apply on an invoice and how to separate tax groups for Canadian firms. The speaker emphasizes the importance of setting up tax rates in the accounting system and in BigTime.",147
2,Applying a Payment in QuickBooks and BigTime,Applying a Payment in QuickBooks and BigTime,"Topic: Applying a Payment in QuickBooks and BigTime
Solution: To apply a payment in QuickBooks and have it post over into BigTime, follow these steps:
1. Open the invoice and enter the full amount due.
2. Add a reference number and select the payment type as cash.
3. Save the payment.
4. Go back to the customers section to view the new payment, which will show the invoice type, reference number, and amount.
5. Click into the payment to see the details, such as the project it was received from, the payment amount, date, and reference number.
6. Run a sync to update BigTime.
7. In BigTime's invoicing overview, the paid invoice will no longer be in the accounts receivable (AR) section.
8. To view the payment in BigTime, go to the company project list, select the relevant project, and click on billing history.
9. The payment will be displayed, showing the invoice number and a zero balance.
10. Clicking into the payment will provide additional details, such as the reference number, payment date, total amount due, payment type, and where the cash was deposited before being moved into the AR account through a journal entry.",251
3,The Benefits of Using BigTime for Your Business,The Benefits of Using BigTime for Your Business,"Topic: The Benefits of Using BigTime for Your Business
Solution: BigTime software offers integration with Sage intact, providing visibility into projects, resource allocation, and more. It helps professional service firms overcome challenges in managing time, budgets, and priorities. With BigTime, businesses can improve productivity, make proactive business decisions, and reduce admin time. The integration with Sage intact allows for syncing of staff, clients, projects, payments, invoices, expenses, and time sheets. BigTime also offers features like project management, timesheets, and invoicing, streamlining the workflow and improving efficiency. A client testimonial from Aegis Project Controls highlights the success they achieved by using BigTime, reducing their close process time and automating tasks. To learn more, contact the BigTime sales team at sales@bigtime.net.",164
4,BigTime Wallet Setup Process,BigTime Wallet Setup Process,"Topic: BigTime Wallet Setup Process
Solution: The BigTime Wallet setup process consists of three steps: configuring the Style Settings, setting up the Account Settings, and selecting the Default Payment Method. 

To configure the Style Settings, you can choose between Classic and Modern options for the Payment Landing page. You can also customize the button color, button text color, text color, line and accent color, and include your company logo. Once you have selected a style, you can save the template for all future invoices.

The Account Settings tab is for users who will be using QuickBooks alongside BigTime Wallet. Here, you can set up your QuickBooks accounts for payments to flow through and be reconciled. It is important to post the invoice to QuickBooks before sending it to the client to ensure smooth payment processing.

The Default Payment Method settings allow you to set a default payment method for all invoices. However, you can still customize the payment methods for specific clients and projects on the invoice page.

Once you have completed the configuration process, you are ready to start using BigTime Wallet to send out invoices to your clients.",224
5,BigTime Wallet - Secure Online Payment Processing Solution,BigTime Wallet - Secure Online Payment Processing Solution,"Topic: BigTime Wallet - Secure Online Payment Processing Solution
Solution: BigTime Wallet is a secure online payment processing solution that allows you to effectively process and collect payments. With BigTime Wallet, you can provide your clients with a personalized and branded experience to pay on time from anywhere with just one click. It offers the flexibility to pay via credit card or ACH direct from their inbox with payment links that are PCI compliant. By using BigTime Wallet, you can eliminate the hassle of switching between invoicing and payment processing software and get paid faster. Reach out to your AE, Implementation Manager, or CSM to get started.",126
6,Using the Report Center in BigTime,Using the Report Center in BigTime,"Topic: Using the Report Center in BigTime

Solution: In the report section of BigTime, you can access three different reports: Deposits, Fee Statements, and Fee Statement Detail. The Deposit report provides a list of all deposits made into your bank account, including the deposit number, client, transaction ID, payment method, and deposit batch data. The Fee Statement report gives a monthly breakdown of invoice payments made, including the total volume and transaction fees. The Fee Statement Detail report provides further detail on transaction fees on a per transaction basis. These reports are a useful reference tool for tracking payments and fee breakdowns. If you have any questions, contact BigTime support or your customer success manager.",140
7,Using Filters to Create an Invoice Time Entries Report,Using Filters to Create an Invoice Time Entries Report,"Topic: Using Filters to Create an Invoice Time Entries Report
Solution: To create an invoice time entries report, start with a timesheet detail type report. Add columns for project name, staff member name, date, input hours, and invoice number. Use drill down links to access invoice details and time entry details. Include billable charges, cost, and margin data. Utilize yes, no filters for tasks and invoice status. Group the report by project and filter by invoiced entries. Publish the report and use drill down links to access invoice and time entry details. Use the same filter to view unbilled fees.",124
8,Using Task Type and Invoice List Type Reports for Invoiced Budget Data,Using Task Type and Invoice List Type Reports for Invoiced Budget Data,"Topic: Using Task Type and Invoice List Type Reports for Invoiced Budget Data
Solution: Task type reports can be used to view budget and invoicing information, including client name, project name, task name, fee estimate, and invoice-related data. It is important to subtotal invoices by task for accurate information. The reports can also show margin data and total activity to date. Grouping the report by client and project can provide additional organization. Invoice list type reports can provide general invoice details, payment data, time and expense charges, and profitability calculations. Using drill down links, specific invoices can be accessed for further details or changes.",127
9,Creating Project Type Reports for Budget and Financial Information,Creating Project Type Reports for Budget and Financial Information,"Topic: Creating Project Type Reports for Budget and Financial Information
Solution: In order to create project type reports for budget and financial information, you can utilize project details such as status, start date, and cost centers. You can also add project custom fields to these reports. The budget information section allows you to add total estimates, hourly fee estimates, and dollar fee estimates. The budget status information section provides financial data at the overall project level, including estimate versus invoiced amounts and margin data. You can search for specific margin fields and hover over them for descriptions of how they are calculated. Current margin fields are available to see billable charges versus input costs before invoicing. You can also include overall margin invoice versus costs columns and realization columns in these reports. Time and expense to date sections allow you to include total costs and total invoice to date amounts. By grouping columns and activating super headers, you can customize the layout of your report. Once published, the report will display client names, project names, due dates, estimates, margin data, total costs, and invoiced amounts. You can also dynamically group projects by client for a holistic view of project health and profitability.",234
10,Creating Project Type Reports for Budget and Financial Information,Creating Project Type Reports for Budget and Financial Information,"Topic: Creating Project Type Reports for Budget and Financial Information
Solution: To create a project type report for budget and financial information, follow these steps:
1. Select the project list type and click next.
2. Add project details such as project name and due date.
3. Scroll through the project details and add any custom fields if needed.
4. Add client information, such as client name, and rearrange the column order if desired.
5. Add budget information, including total estimate, hourly fee estimate, and dollar fee estimate.
6. Scroll to the budget status information section to view financial data at the project level.
7. Search for specific margin fields to see margin data for fees or time and expenses.
8. Hover over any field to see how it is calculated.
9. Include current margin fields to see billable charges versus input costs before invoicing.
10. Include overall margin invoice versus costs column to see margin percentage and dollar amount.
11. Search for realization columns to view overall realization data.
12. Include total cost and total invoice to date columns for profitability purposes.
13. Activate column super headers to group margin fields.
14. Create and publish the report.
15. View the report to see client names, project names, due dates, estimates, margin data, total cost, and total invoiced amount.
16. Group projects by client by clicking on the client column header.
17. Use project type reports to gain a holistic view of project health and profitability.",299
