Field Name,Field Label,View Type,View Type Name,Description,Input to GPT,New Description
AmITeamLead,Is Team Lead (Yes/No),1,<WC@VOCAB>PROJECT</WC@VOCAB> List,Returns YES if the user who is running the report is assigned as the Team Lead.,"Field Name: AmITeamLead, Field Label: Is Team Lead (Yes/No), View Type, 1, View Type Name, <WC@VOCAB>PROJECT</WC@VOCAB> List, Description: Returns YES if the user who is running the report is assigned as the Team Lead.","{
    ""Field Name"": ""AmITeamLead"",
    ""View Type"": 1,
    ""Description"": ""The 'AmITeamLead' report field indicates whether the user running the report is assigned as the Team Lead. It returns 'YES' if the user is indeed the Team Lead, and 'NO' if the user is not assigned as the Team Lead. This field is used to quickly identify whether the user has the responsibility of leading a team within a project.""
}"
AR01,AR (1-30),1,<WC@VOCAB>PROJECT</WC@VOCAB> List,"A/R ""1-30"" day amount.  We pull this amount (during the nightly sync) from your accounting system.","Field Name: AR01, Field Label: AR (1-30), View Type, 1, Description: A/R ""1-30"" day amount.  We pull this amount (during the nightly sync) from your accounting system.","{
    ""Field Name"": ""AR01"", ""View Type"": 1, ""Description"": ""The A/R 1-30 report field represents the accounts receivable amount for the 1-30 day time period. This amount is pulled from your accounting system during the nightly sync. It provides insight into the outstanding invoices that are due within the 1-30 day period, allowing for better management of cash flow and collection efforts.""
}"
AR31,AR (30-60),1,<WC@VOCAB>PROJECT</WC@VOCAB> List,"A/R ""31-60"" day amount.  We pull this amount (during the nightly sync) from your accounting system.","Field Name: AR31, Field Label: AR (30-60), View Type, 1, Description: A/R ""31-60"" day amount.  We pull this amount (during the nightly sync) from your accounting system.","{
    ""Field Name"": ""AR31"",
    ""View Type"": 1,
    ""Description"": ""The AR31 report field represents the Accounts Receivable (A/R) amount that is outstanding for 31-60 days. This field reports on the total amount of unpaid invoices that are 31-60 days past their due date. It is used to track and manage the aging of accounts receivable, allowing businesses to monitor and follow up on overdue payments. The amount for this field is pulled from the accounting system during the nightly sync, providing an up-to-date view of aging invoices.""
}"
AR61,AR (60-90),1,<WC@VOCAB>PROJECT</WC@VOCAB> List,"A/R ""61-90"" day amount.  We pull this amount (during the nightly sync) from your accounting system.","Field Name: AR61, Field Label: AR (60-90), View Type, 1, Description: A/R ""61-90"" day amount.  We pull this amount (during the nightly sync) from your accounting system.","{
    ""Field Name"": ""AR61"",
    ""View Type"": 1,
    ""Description"": ""The A/R '61-90' day amount report field represents the total amount of accounts receivable that are within the 61-90 day aging period. This field reports on the outstanding invoices that are 61 to 90 days past their due date. It is used to track and manage the aging of accounts receivable, allowing firms to identify and follow up on overdue payments in this specific aging bracket. The amount is pulled from the accounting system during the nightly sync process.""
}"
AR91,AR (90+),1,<WC@VOCAB>PROJECT</WC@VOCAB> List,"A/R "">90"" day amount.  We pull this amount (during the nightly sync) from your accounting system.","Field Name: AR91, Field Label: AR (90+), View Type, 1, Description: A/R "">90"" day amount.  We pull this amount (during the nightly sync) from your accounting system.","{
    ""Field Name"": ""AR91"", ""View Type"": 1, ""Description"": ""The AR91 report field represents the A/R (90+) day amount. This field reports on the amount of accounts receivable that is more than 90 days overdue. This information is pulled from your accounting system during the nightly sync. It is used to monitor and manage overdue invoices, assess cash flow, and take necessary actions to collect outstanding payments from clients.""
}"
ARCurrent,AR (Current),1,<WC@VOCAB>PROJECT</WC@VOCAB> List,"A/R ""current"" amount.  We pull this amount (during the nightly sync) from your accounting system.","Field Name: ARCurrent, Field Label: AR (Current), View Type, 1, Description: A/R ""current"" amount.  We pull this amount (during the nightly sync) from your accounting system.","{
    ""Field Name"": ""ARCurrent"",
    ""View Type"": 1,
    ""Description"": ""The AR (Accounts Receivable) Current report field provides the current amount of outstanding invoices that are due from customers. This amount is pulled from your accounting system during the nightly sync. It is used to track the total amount of revenue that is expected to be received in the near term and helps assess the financial health of your firm.""
}"
ARTotal,Total AR,1,<WC@VOCAB>PROJECT</WC@VOCAB> List,The balances of money due to a firm for goods or services that have been delivered or used but not yet paid for by customers.,"Field Name: ARTotal, Field Label: Total AR, View Type, 1, Description: The balances of money due to a firm for goods or services that have been delivered or used but not yet paid for by customers.","{
    ""Field Name"": ""ARTotal"",
    ""View Type"": 1,
    ""Description"": ""The ARTotal report field displays the total accounts receivable balances, representing the amount of money due to a firm for goods or services that have been delivered or used but not yet paid for by customers. This field is used to track the overall outstanding receivables and monitor the financial health of the business.""
}"
BCAddr_Full,Full Address (Address+CSZ),1,<WC@VOCAB>PROJECT</WC@VOCAB> List,"Billing contact's full Address (Address + City, State Zip).","Field Name: BCAddr_Full, Field Label: Full Address (Address+CSZ), View Type, 1, Description: Billing contact's full Address (Address + City, State Zip).","{
    ""Field Name"": ""BCAddr_Full"",
    ""View Type"": 1,
    ""Description"": ""The BCAddr_Full report field provides the full address of the billing contact, including the street address, city, state, and zip code. This information is useful for accurately identifying the billing contact's location and is essential for billing and invoicing purposes.""
}"
BCAddress,Billing Address,1,<WC@VOCAB>PROJECT</WC@VOCAB> List,"Billing contact's Address.  Note that your billing contact typically pulls their address information from the <WC@VOCAB>CLIENT</WC@VOCAB>, but each contact can have it's own address if that's required.","Field Name: BCAddress, Field Label: Billing Address, View Type, 1, Description: Billing contact's Address.  Note that your billing contact typically pulls their address information from the <WC@VOCAB>CLIENT</WC@VOCAB>, but each contact can have it's own address if that's required.","{
    ""Field Name"": ""BCAddress"",
    ""View Type"": 1,
    ""Description"": ""This report field, labeled as Billing Address, reports on the address information of the billing contact. It typically pulls the address information from the client, but each contact can have its own address if required. This field is used to track and manage billing contact addresses for invoicing and correspondence purposes.""
}"
BCAddress2,Billing Address2,1,<WC@VOCAB>PROJECT</WC@VOCAB> List,,"Field Name: BCAddress2, Field Label: Billing Address2, View Type, 1, Description: NULL","{
    ""Field Name"": ""BCAddress2"",
    ""View Type"": 1,
    ""Description"": ""The BCAddress2 field refers to the billing address line 2 for a client or project. It reports on additional address details that are part of the billing address. This field can be used to capture specific location information, such as apartment numbers, suite numbers, or floor levels, to ensure accurate billing and correspondence with clients.""
}"
BCCity,Billing City,1,<WC@VOCAB>PROJECT</WC@VOCAB> List,,"Field Name: BCCity, Field Label: Billing City, View Type, 1, Description: NULL","{
    ""Field Name"": ""BCCity"", ""View Type"": 1, ""Description"": ""The BCCity report field corresponds to the billing city associated with a client or project. It reports on the city where the billing address is located and can be used to analyze client/project distribution by city, assess geographic revenue trends, and facilitate communication with clients based on their location.""
}"
BCCompanyNm,Billing Company Name,1,<WC@VOCAB>PROJECT</WC@VOCAB> List,"Billing contact's Company Name.  Note that your billing contact typically pulls their company name from the <WC@VOCAB>CLIENT</WC@VOCAB>, but each contact can have it's own company name if that's required.","Field Name: BCCompanyNm, Field Label: Billing Company Name, View Type, 1, Description: Billing contact's Company Name.  Note that your billing contact typically pulls their company name from the <WC@VOCAB>CLIENT</WC@VOCAB>, but each contact can have it's own company name if that's required.","{
    ""Field Name"": ""BCCompanyNm"",
    ""View Type"": 1,
    ""Description"": ""The BCCompanyNm report field represents the Billing Company Name. It reports on the company name of the billing contact. In most cases, the billing contact's company name is retrieved from the CLIENT, but individual contacts can have their own company name if needed. This field is used to track and display the billing company name associated with a contact for billing and invoicing purposes.""
}"
